date,region,pharmacy,drug,unit_price_CFA,availability,units_sold,batch_number,reorder_flag,supplier_code,random_noise
1/1/2015,Buea,Amazing Pharmacy Co Ltd,Amoxicillin,1215,1,66,B2824,1,S125,0.279041292
1/1/2015,Buea,Mont Zion Pharmacy,Ciprofloxacin,2002,1,58,B5506,1,S350,1.010515285
1/1/2015,Buea,Winners Pharmacy,Metronidazole,1487,1,50,B4657,0,S242,-0.428046064
1/1/2015,Buea,Amazing Pharmacy Co Ltd,Trimethoprim-Sulfamethoxazole,1010,1,49,B2679,0,S792,-0.742406837
1/1/2015,Buea,Mont Zion Pharmacy,Paracetamol,323,0,51,B9935,,S189,-0.60025385
1/1/2015,Buea,Winners Pharmacy,Ibuprofen,465,1,64,B7912,0,S132,0.947439821
1/1/2015,Buea,Amazing Pharmacy Co Ltd,Amodiaquine,637,1,61,B1488,0,S195,2.778313042
1/1/2015,Buea,Mont Zion Pharmacy,Amoxicillin,1147,1,64,B4582,,S338,1.193639724
1/1/2015,Buea,Winners Pharmacy,Ciprofloxacin,1668,1,43,B9279,0,S716,0.773700417
1/1/2015,Buea,Amazing Pharmacy Co Ltd,Metronidazole,1511,1,45,B1434,0,S674,-0.538141662
1/1/2015,Buea,Mont Zion Pharmacy,Trimethoprim-Sulfamethoxazole,922,0,43,B4257,0,S833,0.89433233
1/1/2015,Buea,Winners Pharmacy,Paracetamol,277,0,57,B9928,0,S529,0.754997797
1/1/2015,Buea,Amazing Pharmacy Co Ltd,Ibuprofen,500,1,45,B4611,0,S559,0.834795419
1/1/2015,Buea,Mont Zion Pharmacy,Amodiaquine,729,1,40,B5557,0,S928,0.296561384
1/1/2015,Buea,Winners Pharmacy,Amoxicillin,1358,1,50,B1106,1,S877,-1.418750459
1/1/2015,Buea,Amazing Pharmacy Co Ltd,Ciprofloxacin,1895,1,61,B3615,0,S814,1.042491617
1/1/2015,Buea,Mont Zion Pharmacy,Metronidazole,1453,1,37,B7924,,S448,0.501448332
1/1/2015,Buea,Winners Pharmacy,Trimethoprim-Sulfamethoxazole,1161,0,57,B5552,0,S259,1.158186653
1/1/2015,Buea,Amazing Pharmacy Co Ltd,Paracetamol,343,1,71,B4527,1,S881,1.27373362
1/1/2015,Buea,Mont Zion Pharmacy,Ibuprofen,,1,58,B6514,0,S204,-0.291952671
1/1/2015,Buea,Winners Pharmacy,Amodiaquine,828,1,46,B2519,0,S489,-0.018550805
2/1/2015,Buea,Amazing Pharmacy Co Ltd,Amoxicillin,1188,1,45,B2584,0,S467,-1.673504622
2/1/2015,Buea,Mont Zion Pharmacy,Ciprofloxacin,1648,1,45,B6635,1,S718,0.339820964
2/1/2015,Buea,Winners Pharmacy,Metronidazole,1459,1,54,B5333,0,S926,-0.00738015
2/1/2015,Buea,Amazing Pharmacy Co Ltd,Trimethoprim-Sulfamethoxazole,1010,1,53,B1711,1,S847,-0.493432482
2/1/2015,Buea,Mont Zion Pharmacy,Paracetamol,287,1,64,B8527,1,S649,0.923162608
2/1/2015,Buea,Winners Pharmacy,Ibuprofen,547,1,52,B3045,,S487,-0.388264399
2/1/2015,Buea,Amazing Pharmacy Co Ltd,Amodiaquine,654,0,45,B2291,0,S665,-0.885512374
2/1/2015,Buea,Mont Zion Pharmacy,Amoxicillin,1271,0,44,B5803,,S949,-1.440041448
2/1/2015,Buea,Winners Pharmacy,Ciprofloxacin,1809,1,60,B6925,1,S691,1.190727256
2/1/2015,Buea,Amazing Pharmacy Co Ltd,Metronidazole,1423,1,61,B4150,1,S821,0.174833012
2/1/2015,Buea,Mont Zion Pharmacy,Trimethoprim-Sulfamethoxazole,1108,1,53,B2139,1,S146,-1.216854892
2/1/2015,Buea,Winners Pharmacy,Paracetamol,299,0,66,B4733,0,S891,-0.86764109
2/1/2015,Buea,Amazing Pharmacy Co Ltd,Ibuprofen,505,,54,B5741,0,S181,0.145861852
2/1/2015,Buea,Mont Zion Pharmacy,Amodiaquine,817,1,53,B4814,0,S987,-1.406405267
2/1/2015,Buea,Winners Pharmacy,Amoxicillin,1340,1,45,B2654,1,S489,-0.034529656
2/1/2015,Buea,Amazing Pharmacy Co Ltd,Ciprofloxacin,2128,0,47,B5554,0,S564,-0.452462232
2/1/2015,Buea,Mont Zion Pharmacy,Metronidazole,1523,1,58,B6977,0,S266,0.777049795
2/1/2015,Buea,Winners Pharmacy,Trimethoprim-Sulfamethoxazole,1181,1,54,B7065,0,S463,1.057423509
2/1/2015,Buea,Amazing Pharmacy Co Ltd,Paracetamol,,1,65,B4432,1,S786,0.051360859
2/1/2015,Buea,Mont Zion Pharmacy,Ibuprofen,571,1,73,B5374,0,S818,1.330881328
2/1/2015,Buea,Winners Pharmacy,Amodiaquine,797,1,60,B2169,1,S723,0.988202611
3/1/2015,Buea,Amazing Pharmacy Co Ltd,Amoxicillin,1288,1,51,B3803,1,S646,-0.893120274
3/1/2015,Buea,Mont Zion Pharmacy,Ciprofloxacin,1902,1,56,B5010,1,S267,-0.334817247
3/1/2015,Buea,Winners Pharmacy,Metronidazole,1373,1,51,B8573,0,S488,0.015143278
3/1/2015,Buea,Amazing Pharmacy Co Ltd,Trimethoprim-Sulfamethoxazole,997,1,57,B5422,1,S755,0.442074017
3/1/2015,Buea,Mont Zion Pharmacy,Paracetamol,272,1,54,B4598,1,S801,0.317767032
3/1/2015,Buea,Winners Pharmacy,Ibuprofen,557,,53,B6313,0,S963,-1.612227307
3/1/2015,Buea,Amazing Pharmacy Co Ltd,Amodiaquine,746,1,52,B1916,0,S334,-0.237391961
3/1/2015,Buea,Mont Zion Pharmacy,Amoxicillin,1115,1,50,B1525,0,S924,1.87200568
3/1/2015,Buea,Winners Pharmacy,Ciprofloxacin,1835,1,52,B6168,0,S510,0.058508902
3/1/2015,Buea,Amazing Pharmacy Co Ltd,Metronidazole,1735,1,53,B5386,0,S167,2.347996928
3/1/2015,Buea,Mont Zion Pharmacy,Trimethoprim-Sulfamethoxazole,908,1,51,B4456,0,S680,0.686848513
3/1/2015,Buea,Winners Pharmacy,Paracetamol,305,1,43,B6155,1,S317,0.070972416
